ANIM3,ALSO3,BBAS3,BBDC3,COGN3,IGTA3,ITSA4,LAME4,MGLU3,VVAR3
18.01,26.20,48.60,29.81,9.25,42.43,12.65,19.65,23.25,4.38
18.80,26.72,48.80,30.42,9.36,42.82,12.76,19.59,23.00,4.31
18.75,26.15,48.80,29.75,9.37,41.75,12.72,19.34,22.30,4.27
18.89,26.63,48.48,30.00,9.13,41.10,12.71,19.91,22.65,4.24
19.49,26.45,47.93,30.33,9.20,40.55,12.88,19.94,22.46,4.04
19.02,27.14,47.80,30.97,9.58,41.12,13.05,20.73,22.39,4.01
19.32,27.20,48.50,31.06,9.66,40.76,12.96,20.71,22.61,4.42
18.81,28.87,48.70,30.93,9.85,40.08,12.80,20.43,22.20,4.51
18.82,28.60,49.83,30.97,10.20,39.50,12.99,20.42,22.38,4.82
18.55,28.00,49.25,31.08,10.09,40.50,12.91,20.28,22.12,4.98
18.57,28.00,48.78,31.25,10.25,40.65,12.92,20.31,21.88,5.05
18.65,28.36,48.96,31.38,10.47,41.13,12.94,20.40,21.81,4.93
18.64,28.46,48.55,31.75,10.18,41.12,12.93,20.36,21.78,4.88
18.88,28.08,48.29,31.20,10.10,40.74,12.88,19.90,20.88,4.80
19.44,29.01,48.20,31.17,10.10,40.80,12.82,19.45,20.26,4.93
19.69,29.00,49.20,31.77,10.84,41.94,12.99,19.93,21.20,5.16
19.99,28.90,48.95,32.23,11.44,41.81,13.20,20.39,20.93,5.49
19.67,29.50,48.32,32.99,11.47,42.40,13.49,20.36,20.92,5.35
19.60,29.50,49.93,32.09,11.33,43.29,13.27,20.60,22.26,5.67
20.28,29.70,50.58,32.35,11.94,43.61,13.42,20.50,22.02,5.77
20.18,29.75,51.86,33.55,11.43,44.55,13.50,21.00,22.38,6.00
20.31,30.00,52.11,33.15,11.61,44.59,13.54,20.50,22.35,5.96
20.25,30.00,53.10,33.86,11.75,44.86,13.80,20.56,22.13,5.99
19.64,29.71,54.65,33.83,11.66,44.96,13.37,20.63,21.94,5.79
18.99,29.57,51.32,32.22,11.22,44.21,12.80,20.03,21.21,5.29
18.24,29.00,51.66,32.69,11.18,43.73,12.82,20.14,20.85,5.45
18.49,28.69,51.73,33.54,11.16,44.15,13.23,20.36,21.25,5.56
18.80,28.98,50.20,32.89,11.40,43.62,13.14,20.50,20.67,5.52
18.75,29.89,53.29,33.60,11.33,43.45,13.36,19.85,20.60,5.56
18.13,29.89,52.08,33.32,11.27,43.18,13.07,19.44,20.16,5.45
18.36,30.00,54.74,34.45,11.60,43.66,13.40,19.83,21.34,5.45
18.13,30.03,54.81,33.99,10.88,43.50,13.23,19.44,20.50,5.28
17.70,30.45,54.27,33.21,10.80,43.10,12.96,19.68,21.07,5.47
18.25,30.30,54.50,33.75,11.04,43.47,13.23,19.77,21.21,5.28
17.58,30.78,52.96,33.10,10.62,42.85,13.20,19.31,20.31,5.21
17.79,30.64,53.20,33.50,11.18,42.77,13.56,19.15,20.14,4.67
18.32,30.50,53.09,33.43,11.39,43.32,12.90,19.36,22.24,4.72
18.80,30.52,52.22,33.20,11.23,43.40,12.81,18.97,21.71,4.97
18.79,30.64,52.50,33.34,11.02,43.48,12.82,19.19,22.31,4.77
19.15,31.00,51.90,33.13,11.09,42.40,12.64,19.74,22.00,4.64
18.72,30.89,50.60,32.11,10.97,42.00,12.37,19.84,21.68,4.58
18.26,30.80,51.31,31.17,10.87,41.43,12.26,19.60,21.90,4.54
18.26,30.80,51.31,31.17,10.87,41.43,12.26,19.60,21.90,4.54
17.50,29.10,50.43,31.20,10.37,40.64,12.29,19.29,22.14,4.41
18.76,29.47,52.20,31.50,11.17,41.60,12.51,19.73,22.60,4.68
19.16,29.50,53.80,32.78,11.48,41.85,12.86,20.21,22.82,4.76
18.83,29.48,53.34,33.14,11.23,41.70,12.90,19.73,22.36,4.84
19.04,29.25,54.16,33.13,11.10,42.00,12.98,19.77,22.16,4.62
18.80,29.49,53.75,33.01,11.05,41.73,12.77,19.55,22.06,4.64
18.61,29.00,54.21,33.17,10.78,41.79,12.80,19.66,22.15,4.54
18.80,29.30,53.80,33.41,10.99,41.44,12.89,19.52,22.55,4.59
18.93,29.15,52.65,32.75,10.89,41.27,12.69,19.77,22.59,4.64
18.88,29.00,51.47,32.13,11.02,40.70,12.47,19.28,22.70,4.58
18.14,29.50,50.39,31.13,10.83,40.68,12.28,18.21,22.78,4.55
18.15,29.15,47.65,30.30,10.87,39.40,11.93,16.73,21.66,4.33
18.36,29.00,47.99,30.42,11.21,39.60,11.96,16.43,21.64,4.33
19.15,29.00,49.12,30.52,11.10,39.11,12.03,16.49,22.07,4.36
18.20,28.38,46.40,29.55,10.36,37.76,11.43,15.74,21.00,4.11
18.36,27.70,48.02,30.83,10.91,38.90,12.05,16.11,21.35,4.18
18.70,28.70,48.72,31.54,10.60,38.92,11.98,16.71,21.61,4.22
18.27,29.43,49.20,31.60,10.35,38.55,11.98,16.95,21.41,4.27
18.91,29.30,48.77,31.30,10.34,38.75,11.87,16.72,20.77,4.55
18.99,29.48,48.25,30.90,10.24,38.70,11.75,16.45,21.13,4.38
