Data,Hora (UTC),Temp. [Hora] (C),Umi. (%),Pressao (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Nebulosidade (Decimos),Insolacao (h),Temp. Max. [Diaria] (h),Temp. Min. [Diaria] (h),Chuva [Diaria] (mm)
01-08-22,0,11.8,96,1006.4,0.5,90,0,4.1,16.8,,
01-08-22,1200,7.4,100,1005.9,0,0,10,,,7.2,0
01-08-22,1800,15.4,87,1004.2,1.6,140,0,,,,
02-08-22,0,12,100,1004.8,0.5,140,10,0,15,,
02-08-22,1200,12,100,1005.4,1.3,140,10,,,11.4,0
02-08-22,1800,14.6,93,1003.6,2.6,140,10,,,,
03-08-22,0,14.6,100,1004.4,2.6,180,10,0.7,20.4,,
03-08-22,1200,13.8,100,1003.2,3.6,140,10,,,13.8,0.6
03-08-22,1800,20,85,999.9,1.6,140,10,,,,
04-08-22,0,17.8,95,998.2,2.3,140,10,5.3,24.8,,
04-08-22,1200,16.2,96,996.6,1.3,230,10,,,12.8,42
04-08-22,1800,24.2,62,993.4,4,360,6,,,,
05-08-22,0,12.8,97,1001.6,1.6,270,10,4.7,15.4,,
05-08-22,1200,11.4,95,1007,0.8,230,9,,,8.4,3.8
05-08-22,1800,15,64,1006.6,0.8,230,7,,,,
06-08-22,0,8.4,94,1008.7,0.8,320,0,1.7,13.2,,
06-08-22,1200,7.8,100,1008.4,2,230,10,,,5.4,0
06-08-22,1800,12.8,77,1004.2,2.8,140,10,,,,
07-08-22,0,11.6,86,1005.1,3.3,140,10,0,14.8,,
07-08-22,1200,11.6,95,1005.8,1.6,140,10,,,11,0.3
07-08-22,1800,14.6,87,1003.8,2,140,10,,,,
08-08-22,0,14.2,89,1006,3.3,140,10,0,15.6,,
08-08-22,1200,13,93,1009.9,2.3,140,10,,,10.4,0
08-08-22,1800,15,87,1007.8,2.5,180,10,,,,
09-08-22,0,13.8,86,1009.5,1.6,140,10,0,13.8,,
09-08-22,1200,12,95,1012.2,2,140,10,,,10.8,6.3
09-08-22,1800,12.2,98,1010.8,3.3,140,10,,,,
10-08-22,0,11.2,93,1002.6,4,180,10,5.3,16.8,,
10-08-22,1200,9.8,84,1014.7,3.3,180,8,,,9.6,9.7
10-08-22,1800,15.6,71,1012.7,3.3,180,7,,,,
11-08-22,0,9.6,95,1012.7,0.5,320,5,6.3,17.8,,
11-08-22,1200,7.8,100,1014.7,1,140,10,,,4.6,0
11-08-22,1800,17.2,70,1012,3.3,140,2,,,,
12-08-22,0,12.4,91,1011.2,1,90,0,8.5,22.6,,
12-08-22,1200,11.8,96,1010.2,2.5,50,7,,,8.2,0
12-08-22,1800,22.6,54,1006.4,2.8,50,8,,,,
13-08-22,0,14.2,91,1006.3,0.8,90,10,5.1,23,,
13-08-22,1200,17.6,71,1008,1.3,140,10,,,12,0
13-08-22,1800,23,59,1006,3.3,50,9,,,,
14-08-22,0,16,89,1006.6,0.7,90,0,2.9,22.2,,
14-08-22,1200,13,100,1004.8,1.3,140,10,,,12.4,0
14-08-22,1800,22.2,67,1001.2,1.6,50,10,,,,
15-08-22,0,18,90,998.2,2.5,90,5,0,25.4,,
15-08-22,1200,22.2,67,992.3,1,90,10,,,15.8,3.9
15-08-22,1800,21.2,75,990.2,2.1,90,10,,,,
16-08-22,0,18,98,994,1.6,270,10,7.5,19.4,,
16-08-22,1200,11.6,98,1001.6,1.3,270,10,,,11.4,2.8
16-08-22,1800,19,70,999.6,1.6,180,5,,,,
17-08-22,0,13.2,93,1000,0,0,0,4,22.2,,
17-08-22,1200,13.6,100,997.2,2.8,140,10,,,11.4,0
17-08-22,1800,21,85,993.9,1.3,320,8,,,,
18-08-22,0,17.8,96,994.6,0,0,10,6.6,18.2,,
18-08-22,1200,10.2,79,1005.4,2.1,270,8,,,8.8,0
18-08-22,1800,13,49,1007.9,2,230,6,,,,
19-08-22,0,8.8,70,1014.2,1.6,320,4,9.6,14,,
19-08-22,1200,7.4,72,1022.2,1.5,360,0,,,2,0
19-08-22,1800,13.4,46,1020.2,1.6,320,0,,,,
20-08-22,0,6.2,88,1020.2,0.7,50,0,9.9,16.2,,
20-08-22,1200,5.6,94,1019.9,1.3,140,0,,,1.2,0
20-08-22,1800,15.8,56,1015.5,2.8,140,0,,,,
21-08-22,0,8.8,84,1015.8,0.5,140,0,7,20,,
21-08-22,1200,6,100,1016.6,1.5,140,10,,,3.8,0
21-08-22,1800,19.8,59,1013.5,2.5,180,1,,,,
22-08-22,0,12.2,88,1014.2,0.3,90,0,6.7,16.2,,
22-08-22,1200,11.2,96,1013.6,1.8,140,7,,,7.2,0
22-08-22,1800,15.6,77,1011,2.5,140,0,,,,
23-08-22,0,11.4,95,1011.8,0.5,90,0,5,21,,
23-08-22,1200,10,100,1012.3,1.6,140,10,,,8.4,0
23-08-22,1800,19.8,77,1009,1.6,90,5,,,,
24-08-22,0,14.8,95,1008,0.5,90,2,3,22.2,,
24-08-22,1200,14.6,98,1009.5,0,0,7,,,11.6,0
24-08-22,1800,22.2,75,1007.4,0.8,140,10,,,,
25-08-22,0,18.8,88,1006.6,1.3,140,8,9.3,30,,
25-08-22,1200,20,69,1007.1,3.3,90,5,,,13.8,0
25-08-22,1800,30,42,1004.6,3,50,0,,,,
26-08-22,0,21.6,82,1005.9,1,140,0,6.4,26.4,,
26-08-22,1200,19.8,80,1009,1,90,8,,,16.6,0
26-08-22,1800,25.8,56,1003.4,1.5,140,8,,,,
27-08-22,0,19.2,90,1002.3,0.7,90,0,9.7,32,,
27-08-22,1200,24.4,49,999.9,3,360,0,,,16.8,0
27-08-22,1800,31.4,36,997.5,3,320,7,,,,
28-08-22,0,23.4,75,1001.6,1.8,230,10,3.3,23.4,,
28-08-22,1200,10,74,1014.7,5,180,10,,,8.8,5.5
28-08-22,1800,13,55,1016.8,3.3,230,7,,,,
29-08-22,0,8.8,70,1019.9,3.3,180,0,9.6,14.4,,
29-08-22,1200,6.6,88,1022,0.5,140,5,,,3,0
29-08-22,1800,13.4,58,1019.2,4.6,140,0,,,,
30-08-22,0,8.8,82,1019,1.3,140,0,9.9,18.4,,
30-08-22,1200,9.4,89,1016.8,2.1,140,0,,,6.8,0
30-08-22,1800,18,62,1011.8,3.3,180,0,,,,
31-08-22,0,13.4,86,1011.9,0.3,140,0,9.5,23.6,,
31-08-22,1200,13,86,1010.6,1.6,140,7,,,9,0
31-08-22,1800,22.8,46,1005.8,1.6,140,7,,,,
01-09-22,0,16.4,79,1004.2,1,140,0,6.2,28.6,,
01-09-22,1200,19,66,1002.8,2.5,90,5,,,13,0
01-09-22,1800,28.4,53,998.3,1.6,230,7,,,,
02-09-22,0,20.6,78,998.3,1.6,140,8,2.7,20.6,,
